variant_id,status,branch,commit,flag,value,source_file,function,line_range,default,primary_layer,behavioral_effect,available_in_current_head
H0,HISTORICAL,c3plus-channel-route-v1,14d7991b6,SAMPLING_C3_OBSTACLE_MODE+INNER_OBS_MODE,unset+unset,systems/controllers/sampling_based_c3_controller.cc,ObsCfg,735-739,unset,CONTACT_MODEL,obstacle-blind inner solve + center-to-disc exponential ranking penalty only,yes (env-reachable)
H1,HISTORICAL,c3plus-channel-route-v1,840c8c618,SAMPLING_C3_INNER_OBS_MODE,inverse_square_psd,systems/controllers/sampling_based_c3_controller.cc,ObsCfg,735-780,unset,CANDIDATE_COST,PSD reciprocal-square potential in inner QP + matching reciprocal ranking shape (RANK_OBS_MODE=inverse_square),yes (env-reachable)
H2,HISTORICAL,c3plus-channel-route-v1,840c8c618,SAMPLING_C3_INNER_OBS_MODE,exponential_psd,systems/controllers/sampling_based_c3_controller.cc,ObsCfg,735-780,unset,CANDIDATE_COST,PSD projected-exponential potential in inner QP + exponential ranking cost,yes (env-reachable)
H3,HISTORICAL,c3plus-channel-route-v1,pre-2440d28c6,SAMPLING_C3_OBSTACLE_MODE,qp_halfspace_legacy,systems/controllers/sampling_based_c3_controller.cc,ObsCfg,735-739,unset,CONTACT_MODEL,frozen closest-footprint separating halfspace in inner QP; exponential ranking cost stays active,yes (env-reachable)
H4,CURRENT,c3plus-channel-route-v1,2440d28c6,SAMPLING_C3_OBSTACLE_MODE,lcs_contact,systems/controllers/sampling_based_c3_controller.cc,ObsCfg,735-739,unset,CONTACT_MODEL,obstacle as frictionless closest-footprint LCS contact (lambda_obs/eta_obs; lever-arm yaw coupling); NO obstacle objective — both cost paths guarded (cc:2133 cc:2317); hard-conflicts with soft potentials (throw at cc:785),yes (canonical)
V0,CURRENT,c3plus-channel-route-v1,2440d28c6,ROUTE_MODE+SELECTION_MODE,unset+current,systems/controllers/sampling_based_c3_controller.cc,candidate selection,see detailed registry,default,CANDIDATE_COST,plain lcs_contact stack: cost_type-5 quadratic object-tracking ranking of PD-impedance rollouts,yes (canonical; best campaign arm 0.301 avg)
V1,CURRENT,c3plus-channel-route-v1,e17cf46ea,SAMPLING_C3_ROUTE_MODE,channel_v1,systems/controllers/sampling_based_c3_controller.cc,route generation,see detailed registry,unset,REFERENCE_OR_ROUTE,channel route carrot replaces the tracking sub-goal; old quadratic ranking retained,yes
V2,CURRENT,c3plus-channel-route-v1,5acb731e3,SAMPLING_C3_ROUTE_SELECTION_MODE+PREDICTION_MODE,delta_v_calibrated (2-switch package),systems/controllers/sampling_based_c3_controller.cc,candidate selection,see detailed registry,current,CANDIDATE_COST,route + lexicographic delta-V/T selection with calibrated predictions; NOT a clean single-factor delta from V1,yes
V3,CURRENT,c3plus-channel-route-v1,b7364606e+e17cf46ea,SAMPLING_C3_TRANSACTION_MODE,transaction_v1_1,systems/controllers/sampling_based_c3_controller.cc,reposition gating,see detailed registry,unset,REPOSITION_COST,reposition exit gating + timeout; also skips stale-buffer candidate in argmin (2-factor vs V0; documented),yes
V4,CURRENT,c3plus-channel-route-v1,e17cf46ea,ROUTE_MODE+SELECTION_MODE+TRANSACTION_MODE,channel_v1+delta_v_calibrated+transaction_v1_1,systems/controllers/sampling_based_c3_controller.cc,multiple,see detailed registry,unset,CANDIDATE_COST,full stack; compounded failure modes; worst abort rate,yes
V5,CURRENT,c3plus-channel-route-v1,78195e85f,none (unconditional inside channel_v1),n/a,systems/controllers/sampling_based_c3_controller.cc,approach fix,cc:1966-1982,always-on within channel_v1,EXECUTION_OR_SAFETY,approach fix; NOT an independent factor — no opt-out flag; cannot be A/B'd without a code change,yes (inseparable from V1)
V6,CURRENT,c3plus-channel-route-v1,5fbec41ef+43d5efb96,none (P5 fixes are default-on),n/a,systems/controllers/sampling_based_c3_controller.cc,P5 recovery,see detailed registry,on,OUTER_LOOP_OR_RECOVERY,post-P5 plain controller = V0 + default repos timeout + swept-path veto + 4cm escape zone + placeholder exclusion (veto block gated on obstacles present — placeholder UNGUARDED on obstacle-free scenes),yes (canonical)
S1,SHADOW_ONLY,audit/cost-variant-probe,offline,none (offline script),L1_task,results/parallel_c3plus_audit/agent_c_cost_comparison/exact_objectives.md,shadow scoring,n/a,n/a,LOGGING_ONLY,L1 task score on logged rollouts: w_xy*|p_N-p_ref|_1/d_ref + w_yaw*|wrap|/pi + w_vel*|v_N|_1/v_ref,offline only
S2,SHADOW_ONLY,audit/cost-variant-probe,offline,none (offline script),L1_route,results/parallel_c3plus_audit/agent_c_cost_comparison/exact_objectives.md,shadow scoring,n/a,n/a,LOGGING_ONLY,L1 route score: w_route*V_active/V_ref + w_cross*d_perp/d_ref + w_yaw*|yaw_err|/pi,offline only
S3,SHADOW_ONLY,audit/cost-variant-probe,offline,none (offline script),L1_transaction,results/parallel_c3plus_audit/agent_c_cost_comparison/exact_objectives.md,shadow scoring,n/a,n/a,LOGGING_ONLY,L1 route + w_time*T_repos/T_ref + w_length*L_repos/L_ref + switching + failure history; blocked paths infeasible not high-cost,offline only
DVW,DEPRECATED,c3plus-channel-route-v1,pilot,SAMPLING_C3_ROUTE_SELECTION_MODE,delta_v_weighted,systems/controllers/sampling_based_c3_controller.cc,candidate selection,see detailed registry,current,CANDIDATE_COST,additive dV credit J_rank - 20000*dV; pilot only; unvalidated,yes (env-reachable)
