variant_id,category,flag_or_enum,value,default,branch,commit,source_file,function,line_range,behavioral_effect,compatible_with_current_head,notes
R01,obstacle_model,SAMPLING_C3_OBSTACLE_MODE,lcs_contact,unset,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,ObsCfg,735-739,obstacle becomes frictionless LCS normal contact (N-closest witness slots),yes,landed 2440d28c6; validated 589be6bbf
R02,obstacle_model,SAMPLING_C3_OBSTACLE_MODE,qp_halfspace_legacy,unset,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,ObsCfg,735-739,frozen separating halfspace constraint in inner QP; exponential ranking cost stays active,yes,legacy preserved
R03,obstacle_model,SAMPLING_C3_INNER_OBS_MODE,exponential_psd,none,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,ObsCfg+inner QP,723-728;2133,PSD exponential obstacle potential added to inner QP,yes,historical H2; conflicts with lcs_contact (throw at 785)
R04,obstacle_model,SAMPLING_C3_INNER_OBS_MODE,inverse_square_psd,none,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,ObsCfg+inner QP,723-728;2133,PSD reciprocal-square obstacle potential in inner QP,yes,historical H1; conflicts with lcs_contact
R05,obstacle_model,SAMPLING_C3_RANK_OBS_MODE,inverse_square|exponential,exponential,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,ranking,729-730;2319-2327,shape of ranking obstacle potential (inactive in lcs_contact),yes,guarded off in lcs_contact at 2317
R06,obstacle_model,SAMPLING_C3_OBJ_NONPEN,1,off,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,ObsCfg,741-742,legacy alias for qp_halfspace_legacy,yes,
R07,obstacle_model,SAMPLING_C3_OBS_SLOTS,int>=1,2,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,LCS augmentation,743-744;1013;2535,number of N-closest obstacle contact slots,yes,lcs_contact only
R08,obstacle_model,SAMPLING_C3_OBS_BOXES,"cx,cy,hx,hy;...",empty(disc),c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,SDF branches,772-782;298;458;556,exact AABB SDF replaces disc for route/LCS witness/veto,yes,landed 589be6bbf
R09,obstacle_model,SAMPLING_C3_OBJ_MARGIN,double,0.01,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,LCS contact,792-793;2535,object-obstacle nonpen margin in LCS contact,yes,
R10,route_reference,SAMPLING_C3_ROUTE_MODE,channel_v1,off,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,route supervisor,753-754;1870-1990,goal-conditioned free-space channel routes + carrot sub-goal + approach-first,yes,landed e17cf46ea; approach fix 78195e85f is unconditional inside
R11,route_reference,SAMPLING_C3_ROUTE_LOOKAHEAD,double m,0.15,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,route carrot,755-756;1977,carrot distance along route polyline,yes,
R12,route_reference,SAMPLING_C3_ORACLE_ROUTE,left|right,none,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,diagnostic,806-810;2030-2049,forced detour sub-goal; suppresses channel override,yes,diagnostic only
R13,candidate_cost,SAMPLING_C3_ROUTE_SELECTION_MODE,current(0),0,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,selection,759-765,ordinary rollout tracking cost argmin,yes,
R14,candidate_cost,SAMPLING_C3_ROUTE_SELECTION_MODE,shadow_delta_v(1),0,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,selection,759-765;2280-2295,logs dV per candidate; selection unchanged,yes,LOGGING ONLY
R15,candidate_cost,SAMPLING_C3_ROUTE_SELECTION_MODE,delta_v_lexicographic(2),0,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,selection,2472-2515,route-progress-rate lexicographic selection with yaw bound + near-best band,yes,requires ROUTE_MODE=channel_v1; C3-mode only (e9426f61f)
R16,candidate_cost,SAMPLING_C3_ROUTE_SELECTION_MODE,delta_v_weighted(3),0,c3plus-channel-route-v1,43d5efb96,systems/controllers/sampling_based_c3_controller.cc,selection,2296-2297,additive ranking credit w*(-dV),yes,pilot only
