recovery_index,config_id,scene,start_id,rotation_label,seed,original_manifest_id,original_run_receipt,original_failure,validated_frozen_version,controller_binary_sha256,inner_config_sha256,bugfix_commit,status
1,B2,shelf_gap,s1,rot000,0,FCO_005_shelf_gap_s01_g02_rot000_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_005_shelf_gap_s01_g02_rot000_seed0_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
2,B1,shelf_gap,s1,rot000,1,FCO_013_shelf_gap_s01_g02_rot000_seed1_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_013_shelf_gap_s01_g02_rot000_seed1_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
3,B2,shelf_gap,s1,rot000,1,FCO_014_shelf_gap_s01_g02_rot000_seed1_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_014_shelf_gap_s01_g02_rot000_seed1_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
4,B2,shelf_gap,s1,rotCCW090,0,FCO_020_shelf_gap_s01_g02_rotCCW090_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_020_shelf_gap_s01_g02_rotCCW090_seed0_B2/attempts/attempt_03/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
5,B1,shelf_gap,s1,rotCCW090,1,FCO_028_shelf_gap_s01_g02_rotCCW090_seed1_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_028_shelf_gap_s01_g02_rotCCW090_seed1_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
6,B1,shelf_gap,s5,rot000,0,FCO_091_shelf_gap_s05_g02_rot000_seed0_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_091_shelf_gap_s05_g02_rot000_seed0_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
7,B2,shelf_gap,s5,rot000,0,FCO_088_shelf_gap_s05_g02_rot000_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_088_shelf_gap_s05_g02_rot000_seed0_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
8,B1,shelf_gap,s5,rot000,1,FCO_096_shelf_gap_s05_g02_rot000_seed1_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_096_shelf_gap_s05_g02_rot000_seed1_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
9,B2,shelf_gap,s5,rot000,1,FCO_097_shelf_gap_s05_g02_rot000_seed1_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_097_shelf_gap_s05_g02_rot000_seed1_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
10,B1,shelf_gap,s5,rotCCW090,0,FCO_103_shelf_gap_s05_g02_rotCCW090_seed0_B1,results/c3plus_final_clean_obstacle_ranking/runs/FCO_103_shelf_gap_s05_g02_rotCCW090_seed0_B1/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
11,B2,shelf_gap,s5,rotCCW090,0,FCO_104_shelf_gap_s05_g02_rotCCW090_seed0_B2,results/c3plus_final_clean_obstacle_ranking/runs/FCO_104_shelf_gap_s05_g02_rotCCW090_seed0_B2/attempts/attempt_01/run_receipt.json,PLANNER_ABORT_ALLFINITE_QV,V2,9459c12910649deb2d503106a85dbfdeaba349f0ff5f2354221d5dc7a155b5a6,d75d68292004e74a154a28e03d0a35f46fbb0441e1b3ea6e0ecda437667c0d7d,5dcf82c499ba2ab272f6a9fcb857c7310376549c,PENDING_APPROVAL
